indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,velocidad del viento,Humedad Relativa,Precipitaciones mensuales
2331,2005-01-01,12.8,-9.4,3,5,87.0,29.3
2331,2005-02-01,12.7,-9.2,7,8,78.0,9.0
2331,2005-03-01,22.8,-12.0,7,27,66.0,16.9
2331,2005-04-01,27.0,-1.8,17,1,71.0,61.9
2331,2005-05-01,30.7,1.0,8,25,63.0,38.6
2331,2005-06-01,34.2,6.4,8,25,54.0,29.4
2331,2005-07-01,37.0,7.1,1,22,50.0,0.1
2331,2005-08-01,36.5,6.0,7,15,56.0,6.4
2331,2005-09-01,34.2,0.9,6,7,59.0,10.8
2331,2005-10-01,25.8,-0.8,17,20,72.0,131.8
2331,2005-11-01,16.3,-2.4,10,6,84.0,89.9
2331,2005-12-01,13.3,-9.4,16,23,81.0,47.6
2331,2006-01-01,11.0,-8.0,10,5,88.0,22.2
2331,2006-02-01,14.9,-7.4,4,26,74.0,44.1
2331,2006-03-01,20.7,-5.4,14,25,73.0,54.4
2331,2006-04-01,23.2,-3.4,12,23,69.0,38.5
2331,2006-05-01,29.7,-0.6,5,24,60.0,33.1
2331,2006-06-01,33.2,2.4,9,21,59.0,36.5
2331,2006-07-01,36.5,10.4,7,23,59.5,4.0
2331,2006-08-01,33.0,5.4,5,27,60.0,12.8
2331,2006-09-01,35.9,4.7,14,20,62.0,31.0
2331,2006-10-01,26.5,3.7,17,26,64.0,119.2
2331,2006-11-01,19.0,-2.6,16,21,66.0,72.8
2331,2006-12-01,14.0,-7.5,11,24,68.0,31.8
2331,2007-01-01,16.2,-6.6,9,8,70.0,28.9
2331,2007-02-01,16.3,-3.0,23,20,72.0,65.8
2331,2007-03-01,19.0,-5.5,6,30,74.0,92.5
2331,2007-04-01,25.7,-3.7,12,10,72.0,56.2
2331,2007-05-01,25.8,0.9,14,25,70.0,105.8
2331,2007-06-01,29.5,3.8,9,25,64.0,47.2
2331,2007-07-01,36.5,5.4,5,28,54.0,5.2
2331,2007-08-01,36.8,6.0,10,12,60.0,16.9
2331,2007-09-01,28.0,-1.0,8,23,66.0,59.4
2331,2007-10-01,22.5,-1.9,8,6,76.0,43.6
2331,2007-11-01,18.8,-9.9,10,6,77.0,48.3
2331,2007-12-01,10.6,-9.2,11,16,82.0,6.2
2331,2008-01-01,15.0,-6.5,15,23,83.0,45.0
2331,2008-02-01,18.8,-4.7,9,23,76.0,37.0
2331,2008-03-01,20.6,-3.8,6,36,72.0,39.8
2331,2008-04-01,25.2,-2.4,16,27,70.0,100.0
2331,2008-05-01,26.2,-0.4,22,11,74.0,194.0
2331,2008-06-01,32.1,4.3,12,23,67.0,53.6
2331,2008-07-01,35.6,5.0,3,26,54.0,1.4
2331,2008-08-01,35.7,5.2,8,19,54.0,6.7
2331,2008-09-01,28.0,2.9,9,24,62.0,38.8
2331,2008-10-01,23.1,-2.5,9,25,72.0,63.0
2331,2008-11-01,15.5,-3.4,17,26,85.0,47.5
2331,2008-12-01,18.5,-6.4,14,21,84.0,71.0
2331,2009-01-01,14.0,-10.9,11,26,86.0,37.7
2331,2009-02-01,17.8,-4.5,3,18,74.0,18.8
2331,2009-03-01,21.0,-3.4,4,30,62.0,27.1
2331,2009-04-01,23.2,-1.8,11,21,66.0,41.3
2331,2009-05-01,27.6,1.8,12,21,62.0,44.8
2331,2009-06-01,34.2,6.3,12,26,55.0,35.1
2331,2009-07-01,35.0,6.3,2,22,48.0,4.4
2331,2009-08-01,35.0,8.5,7,24,54.0,15.1
2331,2009-09-01,30.5,6.0,7,6,65.0,30.1
2331,2009-10-01,27.2,-3.4,8,14,68.0,48.1
2331,2009-11-01,19.4,-0.6,17,35,78.0,63.9
2331,2009-12-01,12.8,-17.1,13,23,86.0,166.4
2331,2010-01-01,10.7,-16.0,17,24,89.0,75.5
2331,2010-02-01,17.0,-5.5,12,21,83.0,65.6
2331,2010-03-01,17.6,-5.5,13,21,73.0,63.0
2331,2010-04-01,27.0,-1.8,11,25,68.0,29.3
2331,2010-05-01,26.2,-0.3,11,36,67.0,39.3
2331,2010-06-01,30.3,4.0,11,21,65.0,86.7
2331,2010-07-01,34.5,8.0,4,23,54.0,5.5
2331,2010-08-01,34.2,7.6,2,23,53.0,0.2
2331,2010-09-01,31.7,0.2,8,21,62.0,30.0
2331,2010-10-01,24.2,-4.4,13,19,69.0,49.6
2331,2010-11-01,17.9,-6.1,13,24,84.0,36.0
2331,2010-12-01,15.0,-10.5,8,20,83.0,125.5
2331,2011-01-01,13.0,-6.2,10,20,89.0,52.6
2331,2011-02-01,18.6,-4.7,9,36,79.0,42.4
2331,2011-03-01,18.5,-4.0,16,16,77.0,46.2
2331,2011-04-01,27.0,-0.2,12,5,70.0,85.3
2331,2011-05-01,28.5,3.0,11,18,69.0,64.8
2331,2011-06-01,35.3,3.7,8,20,62.0,8.8
2331,2011-07-01,32.0,5.8,10,33,58.0,42.7
2331,2011-08-01,36.7,6.4,7,8,53.0,38.2
2331,2011-09-01,32.0,2.6,1,24,56.0,3.1
2331,2011-10-01,28.6,-1.6,8,16,62.0,28.0
2331,2011-11-01,20.0,-1.6,17,18,83.0,70.1
2331,2011-12-01,11.0,-5.0,11,21,85.0,22.5
2331,2012-01-01,12.4,-5.4,3,35,86.0,15.8
2331,2012-02-01,17.7,-10.0,2,2,77.0,37.2
2331,2012-03-01,22.6,-4.5,5,16,62.0,11.9
2331,2012-04-01,18.3,-2.4,20,20,78.0,117.9
2331,2012-05-01,29.5,2.3,12,21,65.0,32.1
2331,2012-06-01,34.6,5.2,10,27,55.0,10.2
2331,2012-07-01,34.0,6.0,3,24,50.0,17.4
2331,2012-08-01,37.2,7.8,3,22,45.0,0.5
2331,2012-09-01,31.7,4.0,8,20,60.0,21.1
2331,2012-10-01,27.6,-3.3,19,29,75.0,51.1
2331,2012-11-01,17.5,-3.5,12,19,85.0,51.3
2331,2012-12-01,13.8,-3.4,16,19,86.0,43.6
2331,2013-01-01,14.0,-3.7,15,35,86.0,84.7
2331,2013-02-01,12.2,-4.8,7,25,85.0,37.1
2331,2013-03-01,15.7,-3.4,21,20,80.0,115.8
2331,2013-04-01,24.0,-3.5,11,23,71.0,30.2
2331,2013-05-01,22.5,-0.8,17,34,73.0,62.1
2331,2013-06-01,30.4,4.0,10,16,68.0,65.4
2331,2013-07-01,33.8,9.2,7,27,57.0,40.4
2331,2013-08-01,34.2,6.8,3,1,56.0,2.1
2331,2013-09-01,29.4,4.8,8,21,63.0,29.6
2331,2013-10-01,23.3,-2.0,14,17,77.0,71.3
2331,2013-11-01,19.5,-4.0,17,2,85.0,50.6
2331,2013-12-01,13.6,-8.2,11,19,85.0,72.1
2331,2014-01-01,15.8,-2.8,18,22,86.0,65.7
2331,2014-02-01,14.7,-2.7,14,19,79.0,70.1
2331,2014-03-01,21.3,-2.6,10,26,67.0,26.7
2331,2014-04-01,23.7,1.6,15,17,68.0,56.5
2331,2014-05-01,25.4,0.9,9,24,61.0,33.3
2331,2014-06-01,29.8,4.0,7,21,57.0,69.4
2331,2014-07-01,34.6,5.8,7,25,59.0,16.7
2331,2014-08-01,31.4,4.3,4,23,56.0,5.2
2331,2014-09-01,32.0,4.3,11,17,60.0,13.6
2331,2014-10-01,26.4,1.1,11,20,71.0,68.6
2331,2014-11-01,20.0,-0.7,22,15,85.0,115.3
2331,2014-12-01,11.5,-7.1,13,1,88.0,24.5
2331,2015-01-01,12.0,-9.0,6,25,86.0,41.3
2331,2015-02-01,12.2,-9.3,10,3,86.0,47.6
2331,2015-03-01,21.5,-3.5,5,2,71.0,18.8
2331,2015-04-01,23.4,-1.8,13,3,67.0,40.7
2331,2015-05-01,31.1,1.9,8,23,60.0,5.8
2331,2015-06-01,35.9,6.5,9,24,59.0,87.7
2331,2015-07-01,35.7,9.2,7,36,49.0,3.6
2331,2015-08-01,34.1,8.2,8,21,51.0,22.5
2331,2015-09-01,27.7,3.0,9,23,62.0,19.7
2331,2015-10-01,21.5,-1.8,16,20,76.0,51.7
2331,2015-11-01,21.5,-3.9,10,34,85.0,32.3
2331,2015-12-01,16.9,-7.0,7,18,79.0,11.5
2331,2016-01-01,17.5,-4.0,20,20,88.0,110.1
2331,2016-02-01,15.5,-8.2,9,22,81.0,83.5
2331,2016-03-01,17.9,-5.0,8,21,77.0,70.2
2331,2016-04-01,17.0,-4.5,18,22,76.0,126.8
2331,2016-05-01,25.0,-1.1,17,14,67.0,41.8
2331,2016-06-01,33.3,1.5,5,23,58.0,10.4
2331,2016-07-01,35.6,5.9,3,24,55.0,36.1
2331,2016-08-01,35.5,7.9,6,1,51.0,2.2
2331,2016-09-01,35.2,3.9,9,24,58.0,15.7
2331,2016-10-01,26.3,-0.7,8,25,67.0,31.7
2331,2016-11-01,21.0,-2.8,12,18,83.0,81.9
2331,2016-12-01,15.7,-8.2,8,3,86.0,5.2
2331,2017-01-01,13.4,-9.8,7,1,77.0,6.8
2331,2017-02-01,21.4,-4.2,10,26,79.0,43.6
2331,2017-03-01,23.1,-2.0,9,20,69.0,23.8
2331,2017-04-01,26.3,-4.4,5,26,52.0,13.0
2331,2017-05-01,32.1,-0.8,16,26,58.0,67.6
2331,2017-06-01,35.6,4.9,15,18,58.0,53.8
2331,2017-07-01,36.0,4.0,4,17,47.0,6.4
2331,2017-08-01,36.8,6.5,6,26,50.0,27.2
2331,2017-09-01,30.6,0.5,8,8,56.0,3.8
2331,2017-10-01,28.5,-0.3,8,4,60.0,13.2
2331,2017-11-01,19.3,-4.8,16,1,74.0,27.6
2331,2017-12-01,12.7,-7.2,14,20,87.0,34.6
2331,2018-01-01,13.9,-5.3,7,22,89.0,50.2
2331,2018-02-01,13.0,-8.2,7,36,83.0,50.1
2331,2018-03-01,16.4,-2.4,21,25,78.0,124.2
2331,2018-04-01,24.8,0.3,14,20,74.0,79.0
2331,2018-05-01,24.1,-2.7,14,6,69.0,45.4
2331,2018-06-01,31.4,5.3,17,6,68.0,41.8
2331,2018-07-01,32.8,10.4,11,1,59.0,45.0
2331,2018-08-01,36.7,8.5,2,22,52.0,0.4
2331,2018-09-01,32.7,5.1,7,8,60.0,39.4
2331,2018-10-01,26.7,-0.3,11,5,72.0,15.2
2331,2018-11-01,17.1,-1.0,24,25,85.0,106.0
2331,2018-12-01,15.3,-3.9,12,24,88.0,32.1
2331,2019-01-01,12.8,-5.9,8,23,81.0,39.9
2331,2019-02-01,21.2,-9.5,1,21,70.0,7.6
2331,2019-03-01,21.3,-4.6,11,23,62.0,12.2
2331,2019-04-01,21.8,-5.2,13,26,71.0,85.2
2331,2019-05-01,28.8,-0.9,16,24,61.0,24.0
2331,2019-06-01,38.8,0.8,7,12,48.0,21.4
2331,2019-07-01,35.6,9.1,12,2,55.0,100.8
2331,2019-08-01,33.9,6.6,8,23,55.0,4.4
2331,2019-09-01,27.2,3.5,14,36,64.0,42.8
2331,2019-10-01,27.7,2.0,12,23,71.0,66.2
2331,2019-11-01,17.2,-2.0,22,22,87.0,103.2
2331,2019-12-01,15.5,-4.4,17,24,85.0,64.0
2331,2020-01-01,14.3,-5.6,15,2,86.0,25.5
2331,2020-02-01,20.3,-4.2,8,24,75.0,4.0
2331,2020-03-01,21.6,-4.0,8,25,76.0,51.6
2331,2020-04-01,19.9,-3.1,25,23,81.0,106.4
2331,2020-05-01,28.8,1.3,5,18,64.0,48.6
2331,2020-06-01,33.0,2.9,10,24,63.0,64.4
2331,2020-07-01,38.0,5.7,6,18,53.0,16.2
2331,2020-08-01,38.2,3.5,6,17,53.0,29.2
2331,2020-09-01,33.2,1.4,9,17,59.0,51.2
2331,2020-10-01,23.6,-0.4,19,21,76.0,85.2
2331,2020-11-01,17.6,-3.6,10,13,81.0,14.2
2331,2020-12-01,15.1,-3.4,17,22,86.0,43.6
2331,2021-01-01,14.2,-8.5,14,24,89.0,39.4
2331,2021-02-01,17.0,-3.3,13,19,82.0,80.4
2331,2021-03-01,23.3,-5.3,6,2,70.0,13.8
2331,2021-04-01,19.8,-3.0,15,22,72.0,56.2
2331,2021-05-01,29.9,-0.4,14,25,65.0,34.2
2331,2021-06-01,30.3,5.7,14,24,64.0,45.6
2331,2021-07-01,35.5,4.4,3,25,51.0,0.8
2331,2021-08-01,38.0,3.8,7,4,52.0,8.0
2331,2021-09-01,32.6,3.8,12,19,67.0,34.8
2331,2021-10-01,24.9,-2.6,10,17,71.0,52.0
2331,2021-11-01,14.7,-4.2,14,22,86.0,51.4
2331,2021-12-01,17.0,-4.6,12,23,86.0,30.2
2331,2022-01-01,18.4,-7.8,7,19,76.0,12.8
2331,2022-02-01,17.3,-6.1,11,21,73.0,7.6
2331,2022-03-01,18.3,-2.6,18,15,81.0,64.6
2331,2022-04-01,21.8,-4.3,10,19,72.0,66.0
2331,2022-05-01,31.1,1.6,9,28,63.0,23.4
2331,2022-06-01,37.3,4.0,10,24,50.0,5.0
2331,2022-07-01,39.3,5.0,2,19,46.0,1.2
2331,2022-08-01,36.7,9.4,8,24,51.0,23.6
2331,2022-09-01,33.7,2.1,7,18,56.0,3.4
2331,2022-10-01,29.0,3.8,14,21,63.0,54.2
2331,2022-11-01,18.5,-1.8,18,27,83.0,62.2
2331,2022-12-01,14.8,-3.6,24,18,88.0,85.2
2331,2023-01-01,15.6,-4.4,10,25,86.0,51.6
2331,2023-02-01,17.3,-8.0,1,5,71.0,13.2
2331,2023-03-01,23.5,-6.3,12,25,66.0,14.2
2331,2023-04-01,29.8,-6.9,10,20,53.0,15.2
2331,2023-05-01,29.0,1.6,17,4,60.0,33.4
2331,2023-06-01,34.0,7.9,16,16,69.0,93.5
2331,2023-07-01,35.6,9.6,5,26,51.0,0.8
2331,2023-08-01,39.0,5.8,5,24,47.0,1.8
2331,2023-09-01,31.9,4.0,15,4,61.0,38.4
2331,2023-10-01,32.1,4.0,17,22,66.0,88.8
2331,2023-11-01,18.1,-2.8,20,25,85.0,68.6
2331,2023-12-01,13.2,-5.6,18,20,89.0,24.1
2331,2024-01-01,19.1,-8.0,10,25,85.0,34.9
2331,2024-02-01,18.2,-2.7,14,20,79.0,58.4
2331,2024-03-01,24.6,-4.4,11,22,74.0,80.0
2331,2024-04-01,26.6,-3.6,10,25,64.0,28.6
2331,2024-05-01,26.8,-0.8,14,25,68.0,56.5
2331,2024-06-01,31.7,1.9,15,12,64.0,79.0
2331,2024-07-01,37.0,5.9,7,18,50.0,21.4
2331,2024-08-01,37.6,6.9,7,25,53.0,50.2
2331,2024-09-01,26.0,2.8,16,21,68.0,28.0
2331,2024-10-01,23.9,1.7,19,20,84.0,147.0
2331,2024-11-01,19.9,-1.4,8,18,84.0,22.2
2331,2024-12-01,16.4,-3.9,10,35,89.0,15.4
